latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.104301,37.610081,295.29,0.41,0.61,3/3/2021,2230,N,VIIRS,n,1,269.25,0.51,N,0
47.872921,33.38361,311.83,0.66,0.73,3/3/2021,2230,N,VIIRS,n,1,272.49,2.85,N,2
47.867088,35.160473,307.71,0.54,0.68,3/3/2021,2230,N,VIIRS,n,1,272.57,3.12,N,3
47.872864,33.386963,303.24,0.66,0.73,3/3/2021,2230,N,VIIRS,n,1,271.89,3.55,N,2
47.879929,33.405209,297.69,0.65,0.73,3/3/2021,2230,N,VIIRS,n,1,272.98,2.22,N,3
48.165596,37.70116,311.47,0.42,0.61,3/3/2021,2230,N,VIIRS,n,1,273.85,2.73,N,2
48.171448,37.695778,295.73,0.42,0.61,3/3/2021,2230,N,VIIRS,n,1,270.04,2.03,N,2
50.425671,33.454281,351.94,0.66,0.73,3/3/2021,2230,N,VIIRS,n,1,269.06,6.94,N,0
50.425369,33.459438,318.31,0.66,0.73,3/3/2021,2230,N,VIIRS,n,1,268.12,4.66,N,0
50.425182,33.44973,326.88,0.66,0.73,3/3/2021,2230,N,VIIRS,n,1,267.85,7.35,N,0
47.139416,37.579197,300.94,0.42,0.61,3/3/2021,2230,N,VIIRS,n,1,271.56,1.48,N,2
47.879894,35.190716,312.2,0.41,0.45,3/4/2021,12,N,VIIRS,n,1,271.53,1.84,N,2
48.163769,30.617235,306.03,0.42,0.38,3/4/2021,12,N,VIIRS,n,1,276.22,3.69,N,2
48.167145,30.61867,330.81,0.42,0.38,3/4/2021,12,N,VIIRS,n,1,275.3,3.69,N,2
47.62809,34.32439,312.97,0.38,0.43,3/4/2021,12,N,VIIRS,n,1,270.28,3.24,N,2
47.626984,34.329311,335.84,0.38,0.43,3/4/2021,12,N,VIIRS,n,1,270.34,3.24,N,2
47.843616,33.381741,298.69,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,270.79,1.94,N,3
47.842155,33.388565,320.58,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,274.32,1.94,N,3
47.629253,34.326473,333.94,0.57,0.43,3/4/2021,12,N,VIIRS,n,1,271.49,5.54,N,2
47.84547,33.383415,308.14,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,272.39,2.63,N,3
47.871292,33.395741,309.38,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,272.18,1.58,N,2
47.872776,33.388962,299.58,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,273.73,1.58,N,2
47.86758,33.431396,310.43,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,271.11,2.17,N,3
47.868317,33.446709,301.17,0.53,0.42,3/4/2021,12,N,VIIRS,n,1,270.27,2.72,N,2
47.875713,33.412834,309.58,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,275.63,1.98,N,3
47.87719,33.406052,301.43,0.52,0.42,3/4/2021,12,N,VIIRS,n,1,273.71,1.98,N,3
